#
23450123154800,50.340366,N,6.955731,E,98.908,590.700
23450123154801,50.340015,N,6.955430,E,83.651,594.900
23450123154802,50.339405,N,6.954791,E,76.676,595.300
23450123154803,50.339405,N,6.954791,E,76.676,597.900
23450123154804,50.339169,N,6.954417,E,69.915,600.600
23450123154805,50.338722,N,6.953773,E,64.128,602.800
23450123154806,50.338722,N,6.953773,E,64.128,604.300
23450123154807,50.338478,N,6.953560,E,56.825,606.300
23450123154808,50.338257,N,6.953385,E,52.603,608.200
23450123154809,50.338093,N,6.953175,E,45.010,609.900
23450123154810,50.338020,N,6.952613,E,41.382,611.800
23450123154811,50.338020,N,6.952613,E,41.382,613.700
23450123154812,50.338047,N,6.952325,E,39.395,614.300
23450123154813,50.337933,N,6.951775,E,42.580,614.800
23450123154814,50.337933,N,6.951775,E,42.580,615.400
23450123154815,50.337826,N,6.951537,E,40.417,616.500
23450123154816,50.337696,N,6.951098,E,33.586,618.000
23450123154817,50.337696,N,6.951098,E,33.586,618.500
23450123154818,50.337711,N,6.950857,E,35.730,619.200
23450123154819,50.337925,N,6.950324,E,51.231,619.900
23450123154820,50.337925,N,6.950324,E,51.231,620.700
23450123154821,50.338093,N,6.950029,E,56.901,622.000
23450123154822,50.338459,N,6.949472,E,50.036,623.400
23450123154823,50.338459,N,6.949472,E,50.036,625.100
23450123154824,50.338631,N,6.949248,E,45.356,626.600
23450123154825,50.338955,N,6.948904,E,40.633,628.000
23450123154826,50.338955,N,6.948904,E,40.633,628.400
23450123154827,50.339111,N,6.948760,E,38.074,628.700
23450123154828,50.339378,N,6.948478,E,34.118,628.100
23450123154829,50.339378,N,6.948478,E,34.118,627.400
23450123154830,50.339371,N,6.948246,E,32.856,625.600
23450123154831,50.339169,N,6.947797,E,45.872,624.200
23450123154832,50.339169,N,6.947797,E,45.872,623.100
23450123154833,50.338966,N,6.947610,E,51.943,621.300
23450123154834,50.338501,N,6.947268,E,57.595,618.900
23450123154835,50.338501,N,6.947268,E,57.595,616.300
23450123154836,50.338264,N,6.947058,E,58.618,614.900
23450123154837,50.337841,N,6.946455,E,64.443,612.800
23450123154838,50.337841,N,6.946455,E,64.443,610.300
23450123154839,50.337662,N,6.946070,E,64.935,607.900
23450123154840,50.337402,N,6.945227,E,63.278,606.600
23450123154841,50.337402,N,6.945227,E,63.278,604.100
23450123154842,50.337337,N,6.944776,E,64.741,602.300
23450123154843,50.337437,N,6.943789,E,75.522,599.500
23450123154844,50.337437,N,6.943789,E,75.522,596.800
23450123154845,50.337597,N,6.943308,E,73.570,594.900
23450123154846,50.337914,N,6.942374,E,72.969,593.500
23450123154847,50.337914,N,6.942374,E,72.969,591.800
23450123154848,50.338036,N,6.941873,E,72.973,590.100
23450123154849,50.338158,N,6.940821,E,72.784,587.700
23450123154850,50.338158,N,6.940821,E,72.784,585.300
23450123154851,50.338177,N,6.939918,E,55.465,582.800
23450123154852,50.338112,N,6.939550,E,50.893,581.000
23450123154853,50.338112,N,6.939550,E,50.893,579.500
23450123154854,50.338020,N,6.938899,E,45.209,578.800
23450123154855,50.338020,N,6.938899,E,45.209,578.000
23450123154856,50.338078,N,6.938581,E,48.160,578.000
23450123154857,50.338402,N,6.938033,E,57.881,578.400
23450123154858,50.338402,N,6.938033,E,57.881,577.700
23450123154859,50.338631,N,6.937837,E,57.289,576.900
23450123154900,50.339062,N,6.937398,E,55.951,576.700
23450123154901,50.339062,N,6.937398,E,55.951,576.600
23450123154902,50.339211,N,6.937080,E,54.386,576.300
23450123154903,50.339535,N,6.936571,E,49.682,577.000
23450123154904,50.339535,N,6.936571,E,49.682,577.400
23450123154905,50.339729,N,6.936419,E,46.712,576.200
23450123154906,50.340023,N,6.935963,E,48.107,575.100
23450123154907,50.340023,N,6.935963,E,48.107,574.800
